4,3,3,2,2,4,2,2,2,2,2,2,2,2,2,2,3,2,2,2,3,2,0.00461732181977872
4,3,2,2,2,3,2,2,3,2,3,2,2,2,2,3,3,2,3,3,3,2,0.00756619415650476
4,3,2,2,2,3,2,2,3,2,2,2,2,2,2,3,3,2,3,3,3,2,-0.000576643887977759
4,3,2,2,2,3,2,2,2,2,2,2,2,2,2,3,3,2,3,3,3,2,0.00484705561258417
4,3,2,2,2,3,2,2,2,2,3,2,2,2,2,3,3,2,3,3,3,2,0.00179088689849598
4,3,2,2,2,3,2,3,2,2,3,2,2,2,2,3,3,2,3,3,3,2,0.00250780934231587
4,3,3,2,2,4,2,2,2,2,2,2,3,2,2,2,3,2,2,2,3,2,0.000252073261548226
4,3,2,2,2,3,2,3,2,2,2,2,2,2,2,3,3,2,3,3,3,2,0.00308895417315842
4,3,2,2,2,3,2,2,2,2,2,2,2,2,2,2,3,2,3,3,3,2,0.000418787476015059
4,3,2,2,2,4,2,2,2,2,2,2,2,2,2,2,3,2,2,2,3,2,-0.000562165352902008
4,3,2,2,2,3,2,2,2,2,3,2,2,2,2,2,3,2,3,3,3,2,-0.000219913380140708
4,3,2,2,2,3,2,3,2,2,2,2,2,2,2,2,3,2,3,3,3,2,0.000302716465996923
4,3,2,2,2,2,2,2,2,2,2,2,2,2,3,2,3,2,3,3,3,2,-0.000236866489327091
3,3,2,2,2,3,2,2,2,2,2,2,2,2,2,3,3,2,3,3,3,2,0.00268081495857233
4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,3,3,3,2,0.0018336177112676
4,3,2,2,2,3,2,2,2,2,2,2,2,2,3,2,3,2,3,3,3,2,-0.00106136310990165
4,3,2,2,2,3,2,2,2,2,3,2,2,2,3,2,3,2,3,3,3,2,-0.00293042495836348
4,3,2,2,2,3,2,2,2,2,2,2,2,2,2,3,3,1,3,3,3,2,0.00299422001228749
4,3,2,2,2,3,2,2,2,2,3,2,2,2,2,3,3,1,3,3,3,2,0.000880857396235572
