2,2,2,3,3,3,3,3,2,3,6,0.619448
2,2,2,3,3,3,3,3,3,4,1,0.643616
2,2,2,3,4,4,3,3,2,4,1,0.6491
2,2,3,2,3,3,3,3,2,4,1,0.634226
2,2,3,2,3,4,3,5,3,3,1,0.660228
2,2,3,2,4,3,3,5,3,5,1,0.647318
2,2,3,2,4,4,3,3,1,5,1,0.609124
2,2,3,2,4,4,3,4,3,5,1,0.673771
2,2,3,2,4,4,4,3,3,3,1,0.661106
2,2,3,2,4,4,4,4,2,4,69,0.659001
2,2,3,2,4,5,4,3,2,4,1,0.641856
2,2,3,2,4,5,4,3,3,3,1,0.654117
2,2,3,2,5,4,4,4,4,4,1,0.670102
2,2,3,3,2,3,3,3,3,3,1,0.64152
2,2,3,3,3,3,3,2,2,2,2,0.596593
2,2,3,3,3,3,3,2,3,2,1,0.616411
2,2,3,3,3,3,3,3,1,3,3,0.615953
2,2,3,3,3,3,3,3,2,4,2,0.660789
2,2,3,3,3,3,3,3,3,2,2,0.645942
2,2,3,3,3,3,3,3,3,3,663,0.671385
2,2,3,3,3,3,3,3,3,4,5,0.677853
2,2,3,3,3,3,3,3,4,2,1,0.646123
2,2,3,3,3,3,3,3,4,4,4,0.67496
2,2,3,3,3,3,3,4,2,4,4,0.669782
2,2,3,3,3,3,3,4,3,2,1,0.655452
2,2,3,3,3,3,3,4,4,4,2,0.683683
2,2,3,3,3,3,4,2,2,2,1,0.59268
2,2,3,3,3,3,4,2,2,4,1,0.627495
2,2,3,3,3,3,4,3,3,2,1,0.641838
2,2,3,3,3,3,4,4,2,4,5,0.666088
2,2,3,3,3,3,4,4,3,4,3,0.681912
2,2,3,3,3,3,4,4,4,4,3,0.678228
2,2,3,3,3,4,2,4,2,4,3,0.670004
2,2,3,3,3,4,2,4,3,5,1,0.678153
2,2,3,3,3,4,2,4,4,4,1,0.689375
2,2,3,3,3,4,3,3,2,2,1,0.638121
2,2,3,3,3,4,3,3,3,4,1,0.694496
2,2,3,3,3,4,3,5,3,5,2,0.682889
2,2,3,3,3,4,4,2,4,4,1,0.660384
2,2,3,3,3,4,4,4,2,4,1,0.680321
2,2,3,3,3,4,4,4,4,2,3,0.666762
2,2,3,3,3,4,4,4,4,4,1,0.696726
2,2,3,3,4,4,2,4,4,2,1,0.667447
2,2,3,3,4,4,2,4,4,4,7,0.699506
2,2,3,3,4,4,4,4,2,4,3,0.685207
2,2,3,4,3,3,3,4,3,3,1,0.689878
2,2,3,4,4,2,2,2,3,4,1,0.617433
2,2,3,4,4,2,2,4,4,5,1,0.640693
2,2,3,4,4,2,4,4,4,4,1,0.667843
2,2,3,4,4,2,4,4,4,5,1,0.653721
2,2,3,4,4,4,2,3,3,4,1,0.697381
2,2,4,2,4,4,2,4,4,2,1,0.657659
2,2,4,3,2,4,4,4,2,2,2,0.636045
2,2,4,3,3,3,3,2,4,2,1,0.63082
2,2,4,3,3,3,3,2,4,4,1,0.660033
2,2,4,3,4,2,4,4,2,4,2,0.659832
2,2,4,3,4,4,2,5,5,3,1,0.685013
2,2,4,4,2,4,4,4,4,4,1,0.696357
2,2,5,3,3,5,3,4,4,6,1,0.674482
2,3,3,3,3,3,3,3,3,4,1,0.686412
3,2,2,4,4,4,3,4,2,2,1,0.662979
3,2,3,3,2,4,4,3,4,2,1,0.663887
3,2,3,3,3,3,3,3,4,2,1,0.681766
3,2,3,3,3,3,3,3,4,3,3,0.706224
3,2,3,3,3,3,3,3,4,4,16,0.711498
3,2,3,3,3,3,3,4,4,4,1,0.71835
3,2,3,3,4,4,2,4,4,2,2,0.701087
3,2,3,4,4,4,3,3,3,3,45,0.738695
3,3,3,3,2,2,2,2,2,4,1,0.596077
3,3,3,3,2,3,3,3,3,3,42,0.686375
3,3,3,4,2,4,2,4,4,4,1,0.711293
3,3,4,3,3,4,4,2,4,5,1,0.713928
3,3,4,3,4,4,2,2,4,5,2,0.711413
3,3,4,4,3,3,3,3,1,3,2,0.681032
3,3,4,4,3,3,3,3,3,4,46,0.74694
3,3,4,4,3,3,3,3,3,5,1,0.734411
